Device : ;PAX1000IR2/M
Serial Number : ;M00773008
Firmware Version : ;1.2.1
Software Version : ;1.4.2002.183
Wavelength [nm] : ;1560
Basic Sample Rate [Hz] : ;60
Operating Mode : ;1 revolution for one measurement

Time[date hh:mm:ss] ; Elapsed Time [hh:mm:ss:ms]; Normalized s 1 ; Normalized s 2 ; Normalized s 3 ; S 0 [mW]; S 1 [mW]; S 2 [mW]; S 3 [mW]; Azimuth[°] ; Ellipticity[°] ; DOP[%] ; DOCP[%] ; DOLP[%] ; Power[mW] ; Pol Power[mW] ; Unpol Power[mW] ; Power[dBm] ; Pol Power[dBm] ; Unpol Power[dBm] ; Power-Split-Ratio ; Phase Difference[°] ; Warning
2025-02-20 13:28:39.37;0.00:00:10:169;0.80;0.10;0.59;0.1759;0.1618;0.02013;0.1186;3.55;18.02;114.66;67.46;92.71;0.1759;0.2016;-0.02578;-7.548;-6.954;-99.990;0.90;80.37;
2025-02-20 13:28:39.63;0.00:00:10:421;0.81;0.09;0.57;0.2069;0.1392;0.0152;0.09802;3.12;17.49;82.62;47.37;67.69;0.2069;0.171;0.03596;-6.842;-7.671;-14.441;0.91;81.18;
2025-02-20 13:28:39.88;0.00:00:10:676;0.82;0.02;0.58;0.2036;0.1421;0.002694;0.1006;0.54;17.65;85.55;49.43;69.82;0.2036;0.1742;0.02942;-6.913;-7.590;-15.313;0.91;88.47;
2025-02-20 13:28:40.14;0.00:00:10:931;0.83;0.10;0.55;0.172;0.1698;0.02142;0.1127;3.59;16.67;119.12;65.48;99.50;0.172;0.2049;-0.03289;-7.644;-6.884;-99.990;0.91;79.24;
2025-02-20 13:28:40.39;0.00:00:11:185;0.80;0.17;0.57;0.1984;0.1453;0.03076;0.1026;5.98;17.32;91.02;51.74;74.89;0.1984;0.1806;0.01781;-7.025;-7.433;-17.494;0.90;73.31;
2025-02-20 13:28:40.64;0.00:00:11:438;0.78;0.10;0.61;0.1777;0.1558;0.02063;0.1222;3.77;18.93;112.04;68.77;88.45;0.1777;0.1991;-0.0214;-7.502;-7.009;-99.990;0.89;80.42;
2025-02-20 13:28:40.90;0.00:00:11:693;0.83;0.12;0.55;0.1793;0.1642;0.02472;0.1081;4.28;16.53;110.49;60.29;92.59;0.1793;0.1981;-0.01881;-7.464;-7.031;-99.990;0.91;77.12;
2025-02-20 13:28:41.15;0.00:00:11:947;0.79;0.06;0.62;0.1861;0.1509;0.01172;0.1181;2.22;18.98;103.14;63.44;81.32;0.1861;0.1919;-0.005834;-7.303;-7.169;-99.990;0.89;84.33;
2025-02-20 13:28:41.41;0.00:00:12:202;0.76;0.17;0.63;0.2013;0.1352;0.03074;0.1111;6.41;19.36;88.26;55.20;68.87;0.2013;0.1776;0.02362;-6.962;-7.505;-16.267;0.88;74.53;
2025-02-20 13:28:41.66;0.00:00:12:457;0.83;0.01;0.55;0.2056;0.1434;0.002199;0.09526;0.44;16.80;83.73;46.32;69.74;0.2056;0.1722;0.03347;-6.869;-7.640;-14.754;0.92;88.68;
